UserID,DestinationID,Preferences,TripPurpose,GroupSize,TravelMode,Cost,TotalSpend,StayDuration,BookingSource,Weather,BudgetCategory,DurationCategory,ExperienceRating,SatisfactionScore,VisitDate
172,3847,Leisure,Honeymoon,Couple,Cab,48911,54911,5,Yatra,Rainy,Luxury,Medium Trip,5,Neutral,17-05-2023
173,4520,Leisure,Leisure,Couple,Bike,29873,32273,2,Booking.com,Cold,Medium Budget,Short Trip,8,Highly Satisfied,05-01-2021
174,1204,Business,Business,Couple,Flight,33280,39280,5,Booking.com,Cold,Luxury,Medium Trip,3,Unsatisfied,16-09-2024
175,3382,Leisure,Family,Family,Car,24197,26597,2,Yatra,Rainy,Medium Budget,Short Trip,7,Satisfied,12-03-2020
176,4431,Adventure,Adventure,Group,Bike,38355,47955,8,MakeMyTrip,Pleasant,Luxury,Long Trip,5,Neutral,27-09-2022
177,1443,Leisure,Honeymoon,Couple,Cab,26830,31630,4,Goibibo,Pleasant,Medium Budget,Medium Trip,8,Highly Satisfied,11-06-2021
178,2273,Religious,Religious,Solo,Cab,36429,40029,3,Booking.com,Cold,Luxury,Medium Trip,4,Neutral,03-11-2021
179,3516,Adventure,Adventure,Solo,Car,51379,62179,9,Goibibo,Pleasant,Luxury,Long Trip,8,Highly Satisfied,28-03-2021
180,4603,Family,Leisure,Solo,Train,32695,35095,2,Cleartrip,Cold,Luxury,Short Trip,6,Satisfied,12-09-2021
181,4243,Family,Family,Family,Cab,6891,15291,7,Goibibo,Pleasant,Low Budget,Long Trip,8,Highly Satisfied,05-05-2023
182,500,Family,Family,Family,Cab,50292,57492,6,MakeMyTrip,Sunny,Luxury,Long Trip,8,Highly Satisfied,27-10-2024
183,1165,Business,Business,Solo,Train,27618,32418,4,Goibibo,Cold,Medium Budget,Medium Trip,9,Highly Satisfied,07-11-2021
184,4294,Adventure,Adventure,Couple,Car,45368,47768,2,Cleartrip,Cold,Luxury,Short Trip,7,Satisfied,14-05-2021
185,1652,Leisure,Honeymoon,Couple,Flight,58903,60103,1,Cleartrip,Pleasant,Luxury,Short Trip,1,Unsatisfied,09-07-2023
186,3011,Religious,Religious,Family,Car,36839,38039,1,MakeMyTrip,Rainy,Luxury,Short Trip,3,Unsatisfied,03-04-2023
187,4434,Religious,Religious,Family,Train,52356,63156,9,Cleartrip,Sunny,Luxury,Long Trip,3,Unsatisfied,08-01-2024
188,386,Family,Family,Family,Train,5632,6832,1,MakeMyTrip,Cold,Low Budget,Short Trip,9,Highly Satisfied,07-05-2024
189,936,Family,Family,Family,Train,14436,21636,6,Booking.com,Cold,Medium Budget,Long Trip,9,Highly Satisfied,29-11-2021
190,2518,Adventure,Adventure,Solo,Bike,38418,43218,4,MakeMyTrip,Cold,Luxury,Medium Trip,6,Satisfied,16-05-2024
191,4075,Adventure,Adventure,Couple,Car,56565,62565,5,Goibibo,Cold,Luxury,Medium Trip,8,Highly Satisfied,07-08-2021
192,4245,Adventure,Adventure,Couple,Car,17166,24366,6,Goibibo,Cold,Medium Budget,Long Trip,2,Unsatisfied,25-01-2021
193,2796,Adventure,Adventure,Couple,Train,40177,48577,7,Cleartrip,Pleasant,Luxury,Long Trip,2,Unsatisfied,03-07-2024
194,2297,Leisure,Honeymoon,Couple,Flight,5379,7779,2,MakeMyTrip,Cold,Low Budget,Short Trip,4,Neutral,28-03-2021
195,2489,Business,Business,Solo,Train,37802,46202,7,Cleartrip,Rainy,Luxury,Long Trip,1,Unsatisfied,11-08-2022
196,737,Adventure,Adventure,Solo,Car,43716,44916,1,MakeMyTrip,Sunny,Luxury,Short Trip,7,Satisfied,07-06-2020
197,3072,Family,Family,Family,Train,13982,16382,2,Goibibo,Cold,Medium Budget,Short Trip,8,Highly Satisfied,27-07-2024
198,3530,Religious,Religious,Family,Cab,27517,28717,1,MakeMyTrip,Cold,Medium Budget,Short Trip,7,Satisfied,10-09-2024
199,820,Family,Leisure,Couple,Cab,46917,57717,9,Yatra,Pleasant,Luxury,Long Trip,6,Satisfied,12-12-2024
200,4221,Family,Family,Family,Cab,48475,53275,4,Yatra,Sunny,Luxury,Medium Trip,9,Highly Satisfied,16-09-2021
201,4585,Family,Leisure,Group,Bike,32909,42509,8,Booking.com,Pleasant,Luxury,Long Trip,2,Unsatisfied,20-06-2021
